date,value,indicator,geography,unit,frequency
2002-01-01,6.13794052177572,Deposit Gap (Years),National,Years,Quarter
2002-04-01,6.409860193308313,Deposit Gap (Years),National,Years,Quarter
2002-07-01,6.5512732354682965,Deposit Gap (Years),National,Years,Quarter
2002-10-01,6.969236746644901,Deposit Gap (Years),National,Years,Quarter
2003-01-01,7.407513306660527,Deposit Gap (Years),National,Years,Quarter
2003-04-01,7.609032068790252,Deposit Gap (Years),National,Years,Quarter
2003-07-01,6.261420906318246,Deposit Gap (Years),National,Years,Quarter
2003-10-01,6.47975156137498,Deposit Gap (Years),National,Years,Quarter
2004-01-01,6.513427164689376,Deposit Gap (Years),National,Years,Quarter
2004-04-01,6.708600107525211,Deposit Gap (Years),National,Years,Quarter
2004-07-01,7.298742422411,Deposit Gap (Years),National,Years,Quarter
2004-10-01,7.185384443185317,Deposit Gap (Years),National,Years,Quarter
2005-01-01,6.827252265016551,Deposit Gap (Years),National,Years,Quarter
2005-04-01,6.860800545769377,Deposit Gap (Years),National,Years,Quarter
2005-07-01,7.0518224201904856,Deposit Gap (Years),National,Years,Quarter
2005-10-01,7.126720713970093,Deposit Gap (Years),National,Years,Quarter
2006-01-01,6.943223912890135,Deposit Gap (Years),National,Years,Quarter
2006-04-01,7.215107904236063,Deposit Gap (Years),National,Years,Quarter
2006-07-01,7.308863727881878,Deposit Gap (Years),National,Years,Quarter
2006-10-01,7.425630694328755,Deposit Gap (Years),National,Years,Quarter
2007-01-01,7.310102381638259,Deposit Gap (Years),National,Years,Quarter
2007-04-01,7.749969397348078,Deposit Gap (Years),National,Years,Quarter
2007-07-01,8.234103083065861,Deposit Gap (Years),National,Years,Quarter
2007-10-01,8.320641199398969,Deposit Gap (Years),National,Years,Quarter
2008-01-01,8.369699697020279,Deposit Gap (Years),National,Years,Quarter
2008-04-01,8.157404079382223,Deposit Gap (Years),National,Years,Quarter
2008-07-01,8.695182627092446,Deposit Gap (Years),National,Years,Quarter
2008-10-01,8.18670093342496,Deposit Gap (Years),National,Years,Quarter
2009-01-01,8.059919352418925,Deposit Gap (Years),National,Years,Quarter
2009-04-01,8.219374370623598,Deposit Gap (Years),National,Years,Quarter
2009-07-01,8.129855078758641,Deposit Gap (Years),National,Years,Quarter
2009-10-01,8.395248930845101,Deposit Gap (Years),National,Years,Quarter
2010-01-01,8.455363403331981,Deposit Gap (Years),National,Years,Quarter
2010-04-01,8.503231010890131,Deposit Gap (Years),National,Years,Quarter
2010-07-01,8.290448001348198,Deposit Gap (Years),National,Years,Quarter
2010-10-01,8.279546839591388,Deposit Gap (Years),National,Years,Quarter
2011-01-01,8.291998280236369,Deposit Gap (Years),National,Years,Quarter
2011-04-01,7.930621985522878,Deposit Gap (Years),National,Years,Quarter
2011-07-01,9.053036144406727,Deposit Gap (Years),National,Years,Quarter
2011-10-01,9.106976808846634,Deposit Gap (Years),National,Years,Quarter
2012-01-01,8.84249004685971,Deposit Gap (Years),National,Years,Quarter
2012-04-01,8.839849567507512,Deposit Gap (Years),National,Years,Quarter
2012-10-01,8.4870096290954,Deposit Gap (Years),National,Years,Quarter
2013-04-01,8.42264200541797,Deposit Gap (Years),National,Years,Quarter
2013-10-01,8.710226027540395,Deposit Gap (Years),National,Years,Quarter
2014-04-01,8.740122557994365,Deposit Gap (Years),National,Years,Quarter
2014-10-01,8.809636461444285,Deposit Gap (Years),National,Years,Quarter
2015-04-01,8.777656139905824,Deposit Gap (Years),National,Years,Quarter
2015-10-01,8.869273660770206,Deposit Gap (Years),National,Years,Quarter
2016-04-01,8.816044878532812,Deposit Gap (Years),National,Years,Quarter
2016-10-01,8.919660903313565,Deposit Gap (Years),National,Years,Quarter
2017-04-01,8.944779276803626,Deposit Gap (Years),National,Years,Quarter
2017-10-01,9.03951210497673,Deposit Gap (Years),National,Years,Quarter
2018-04-01,8.940040548236098,Deposit Gap (Years),National,Years,Quarter
2018-10-01,9.027962270766512,Deposit Gap (Years),National,Years,Quarter
2019-04-01,8.769680839972912,Deposit Gap (Years),National,Years,Quarter
2019-10-01,8.951115547664987,Deposit Gap (Years),National,Years,Quarter
2020-04-01,8.602362882075818,Deposit Gap (Years),National,Years,Quarter
2020-10-01,9.270010730257374,Deposit Gap (Years),National,Years,Quarter
2021-04-01,9.869366065848052,Deposit Gap (Years),National,Years,Quarter
2021-10-01,11.173128969954176,Deposit Gap (Years),National,Years,Quarter
2022-04-01,11.610157012892484,Deposit Gap (Years),National,Years,Quarter
2022-10-01,11.563921694689501,Deposit Gap (Years),National,Years,Quarter
2023-04-01,11.913243096249442,Deposit Gap (Years),National,Years,Quarter
2023-10-01,12.339973359093435,Deposit Gap (Years),National,Years,Quarter
2024-04-01,12.890431754491345,Deposit Gap (Years),National,Years,Quarter
2024-10-01,13.546384397807286,Deposit Gap (Years),National,Years,Quarter
2025-04-01,13.610930568185372,Deposit Gap (Years),National,Years,Quarter
2004-04-01,100,Mortgage Serviceability Index,National,Index (base=100),Quarter
2004-07-01,108.564650059312,Mortgage Serviceability Index,National,Index (base=100),Quarter
2004-10-01,107.54406580493539,Mortgage Serviceability Index,National,Index (base=100),Quarter
2005-01-01,103.98369123710552,Mortgage Serviceability Index,National,Index (base=100),Quarter
2005-04-01,107.33284330494328,Mortgage Serviceability Index,National,Index (base=100),Quarter
2005-07-01,108.6694465808857,Mortgage Serviceability Index,National,Index (base=100),Quarter
2005-10-01,109.79459073462465,Mortgage Serviceability Index,National,Index (base=100),Quarter
2006-01-01,106.03462778277174,Mortgage Serviceability Index,National,Index (base=100),Quarter
2006-04-01,112.85282976451411,Mortgage Serviceability Index,National,Index (base=100),Quarter
2006-07-01,118.94623149720131,Mortgage Serviceability Index,National,Index (base=100),Quarter
2006-10-01,124.86408970334419,Mortgage Serviceability Index,National,Index (base=100),Quarter
2007-01-01,124.62778260677403,Mortgage Serviceability Index,National,Index (base=100),Quarter
2007-04-01,133.64809750634979,Mortgage Serviceability Index,National,Index (base=100),Quarter
2007-07-01,145.07969420244106,Mortgage Serviceability Index,National,Index (base=100),Quarter
2007-10-01,150.8646403335326,Mortgage Serviceability Index,National,Index (base=100),Quarter
2008-01-01,161.48197019345668,Mortgage Serviceability Index,National,Index (base=100),Quarter
2008-04-01,165.68405515891777,Mortgage Serviceability Index,National,Index (base=100),Quarter
2008-07-01,179.22712449501591,Mortgage Serviceability Index,National,Index (base=100),Quarter
2008-10-01,133.1209445699695,Mortgage Serviceability Index,National,Index (base=100),Quarter
2009-01-01,104.01648812085247,Mortgage Serviceability Index,National,Index (base=100),Quarter
2009-04-01,99.33065901430811,Mortgage Serviceability Index,National,Index (base=100),Quarter
2009-07-01,98.80637150412454,Mortgage Serviceability Index,National,Index (base=100),Quarter
2009-10-01,114.47422801118039,Mortgage Serviceability Index,National,Index (base=100),Quarter
2010-01-01,124.03238601825946,Mortgage Serviceability Index,National,Index (base=100),Quarter
2010-04-01,136.83370319366355,Mortgage Serviceability Index,National,Index (base=100),Quarter
2010-07-01,133.6111007132306,Mortgage Serviceability Index,National,Index (base=100),Quarter
2010-10-01,139.5887132884237,Mortgage Serviceability Index,National,Index (base=100),Quarter
2011-01-01,142.19885398500668,Mortgage Serviceability Index,National,Index (base=100),Quarter
2011-04-01,136.00157657213805,Mortgage Serviceability Index,National,Index (base=100),Quarter
2011-07-01,154.31859059884002,Mortgage Serviceability Index,National,Index (base=100),Quarter
2011-10-01,149.26545426530214,Mortgage Serviceability Index,National,Index (base=100),Quarter
2012-01-01,142.8995491315597,Mortgage Serviceability Index,National,Index (base=100),Quarter
2012-04-01,136.4591560083821,Mortgage Serviceability Index,National,Index (base=100),Quarter
2012-07-01,127.68945610620995,Mortgage Serviceability Index,National,Index (base=100),Quarter
2012-10-01,120.59390865239475,Mortgage Serviceability Index,National,Index (base=100),Quarter
2013-01-01,118.13802018769468,Mortgage Serviceability Index,National,Index (base=100),Quarter
2013-04-01,113.1375403436133,Mortgage Serviceability Index,National,Index (base=100),Quarter
2013-07-01,107.6639985260044,Mortgage Serviceability Index,National,Index (base=100),Quarter
2013-10-01,108.89977856460406,Mortgage Serviceability Index,National,Index (base=100),Quarter
2014-01-01,109.71772529372406,Mortgage Serviceability Index,National,Index (base=100),Quarter
2014-04-01,109.3078668648853,Mortgage Serviceability Index,National,Index (base=100),Quarter
2014-07-01,108.058077785565,Mortgage Serviceability Index,National,Index (base=100),Quarter
2014-10-01,110.32562542634795,Mortgage Serviceability Index,National,Index (base=100),Quarter
2015-01-01,106.69611118048752,Mortgage Serviceability Index,National,Index (base=100),Quarter
2015-04-01,101.36156528555209,Mortgage Serviceability Index,National,Index (base=100),Quarter
2015-07-01,105.12025236027118,Mortgage Serviceability Index,National,Index (base=100),Quarter
2015-10-01,110.04464936301402,Mortgage Serviceability Index,National,Index (base=100),Quarter
2016-01-01,111.83602925080973,Mortgage Serviceability Index,National,Index (base=100),Quarter
2016-04-01,106.68167336226885,Mortgage Serviceability Index,National,Index (base=100),Quarter
2016-07-01,102.75866713783857,Mortgage Serviceability Index,National,Index (base=100),Quarter
2016-10-01,104.86878037186685,Mortgage Serviceability Index,National,Index (base=100),Quarter
2017-01-01,107.8807801324519,Mortgage Serviceability Index,National,Index (base=100),Quarter
2017-04-01,110.51034585129307,Mortgage Serviceability Index,National,Index (base=100),Quarter
2017-07-01,111.37934346247673,Mortgage Serviceability Index,National,Index (base=100),Quarter
2017-10-01,113.06903655234568,Mortgage Serviceability Index,National,Index (base=100),Quarter
2018-01-01,114.22341416080846,Mortgage Serviceability Index,National,Index (base=100),Quarter
2018-04-01,113.09514617475477,Mortgage Serviceability Index,National,Index (base=100),Quarter
2018-07-01,112.9966202661881,Mortgage Serviceability Index,National,Index (base=100),Quarter
2018-10-01,116.65120846592517,Mortgage Serviceability Index,National,Index (base=100),Quarter
2019-01-01,116.43903353647531,Mortgage Serviceability Index,National,Index (base=100),Quarter
2019-04-01,113.6223636034581,Mortgage Serviceability Index,National,Index (base=100),Quarter
2019-07-01,104.80590794132524,Mortgage Serviceability Index,National,Index (base=100),Quarter
2019-10-01,105.96866315570237,Mortgage Serviceability Index,National,Index (base=100),Quarter
2020-01-01,102.61618530455614,Mortgage Serviceability Index,National,Index (base=100),Quarter
2020-04-01,97.98048991979189,Mortgage Serviceability Index,National,Index (base=100),Quarter
2020-07-01,96.3239177239829,Mortgage Serviceability Index,National,Index (base=100),Quarter
2020-10-01,99.93485800997183,Mortgage Serviceability Index,National,Index (base=100),Quarter
2021-01-01,102.17310888691455,Mortgage Serviceability Index,National,Index (base=100),Quarter
2021-04-01,103.30666278438203,Mortgage Serviceability Index,National,Index (base=100),Quarter
2021-07-01,107.10959898481663,Mortgage Serviceability Index,National,Index (base=100),Quarter
2021-10-01,114.4973956311536,Mortgage Serviceability Index,National,Index (base=100),Quarter
2022-01-01,118.7188669701568,Mortgage Serviceability Index,National,Index (base=100),Quarter
2022-04-01,128.8946307827371,Mortgage Serviceability Index,National,Index (base=100),Quarter
2022-07-01,167.45248577725113,Mortgage Serviceability Index,National,Index (base=100),Quarter
