date,value,series,series_id,category,unit,frequency
2019-07-31,3.9,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2019-08-31,3.9,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2019-09-30,3.9,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2019-10-31,3.7,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2019-11-30,3.7,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2019-12-31,3.6,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-01-31,3.6,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-02-29,3.6,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-03-31,3.3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-04-30,3.2,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-05-31,3.1,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-06-30,3.1,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-07-31,3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-08-31,3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-09-30,3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-10-31,3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-11-30,3,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
2020-12-31,2.9,Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions,FLRHIFTA,Housing Finance,Per cent per annum,Month
