survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,1.7,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 15 to 24,National,proportion
2019-20,2.9,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 25 to 34,National,proportion
2019-20,5.4,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 35 to 44,National,proportion
2019-20,15.2,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 45 to 54,National,proportion
2019-20,36.1,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 55 to 64,National,proportion
2019-20,68.1,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 65 to 74,National,proportion
2019-20,79.4,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | 75 and over,National,proportion
2019-20,29.5,pct_households,owner_outright,owner_by_age_group,Owner without a mortgage | all households,National,proportion
2019-20,9.1,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 15 to 24,National,proportion
2019-20,37.8,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 25 to 34,National,proportion
2019-20,51.4,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 35 to 44,National,proportion
2019-20,56.6,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 45 to 54,National,proportion
2019-20,43,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 55 to 64,National,proportion
2019-20,13.4,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 65 to 74,National,proportion
2019-20,3.7,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | 75 and over,National,proportion
2019-20,36.8,pct_households,owner_mortgage,owner_by_age_group,Owner with a mortgage | all households,National,proportion
2019-20,10.4,pct_households,owner_total,owner_by_age_group,Total owners | 15 to 24,National,proportion
2019-20,40.7,pct_households,owner_total,owner_by_age_group,Total owners | 25 to 34,National,proportion
2019-20,56.7,pct_households,owner_total,owner_by_age_group,Total owners | 35 to 44,National,proportion
2019-20,72,pct_households,owner_total,owner_by_age_group,Total owners | 45 to 54,National,proportion
2019-20,79.1,pct_households,owner_total,owner_by_age_group,Total owners | 55 to 64,National,proportion
2019-20,81.7,pct_households,owner_total,owner_by_age_group,Total owners | 65 to 74,National,proportion
2019-20,83,pct_households,owner_total,owner_by_age_group,Total owners | 75 and over,National,proportion
2019-20,66.2,pct_households,owner_total,owner_by_age_group,Total owners | all households,National,proportion
2019-20,1.5,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 15 to 24,National,proportion
2019-20,1.2,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 25 to 34,National,proportion
2019-20,1.7,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 35 to 44,National,proportion
2019-20,2.9,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 45 to 54,National,proportion
2019-20,4.3,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 55 to 64,National,proportion
2019-20,3.8,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 65 to 74,National,proportion
2019-20,3.8,pct_households,renter_social,renter_by_age_group,State or territory housing authority | 75 and over,National,proportion
2019-20,2.9,pct_households,renter_social,renter_by_age_group,State or territory housing authority | all households,National,proportion
2019-20,80.3,pct_households,renter_private,renter_by_age_group,Private landlord | 15 to 24,National,proportion
2019-20,51.4,pct_households,renter_private,renter_by_age_group,Private landlord | 25 to 34,National,proportion
2019-20,37.2,pct_households,renter_private,renter_by_age_group,Private landlord | 35 to 44,National,proportion
2019-20,21.3,pct_households,renter_private,renter_by_age_group,Private landlord | 45 to 54,National,proportion
2019-20,13.9,pct_households,renter_private,renter_by_age_group,Private landlord | 55 to 64,National,proportion
2019-20,9.5,pct_households,renter_private,renter_by_age_group,Private landlord | 65 to 74,National,proportion
2019-20,6,pct_households,renter_private,renter_by_age_group,Private landlord | 75 and over,National,proportion
2019-20,26.2,pct_households,renter_private,renter_by_age_group,Private landlord | all households,National,proportion
2019-20,83.5,pct_households,renter_total,renter_by_age_group,Total renters | 15 to 24,National,proportion
2019-20,55.7,pct_households,renter_total,renter_by_age_group,Total renters | 25 to 34,National,proportion
2019-20,41.5,pct_households,renter_total,renter_by_age_group,Total renters | 35 to 44,National,proportion
2019-20,26.3,pct_households,renter_total,renter_by_age_group,Total renters | 45 to 54,National,proportion
2019-20,19.1,pct_households,renter_total,renter_by_age_group,Total renters | 55 to 64,National,proportion
2019-20,16,pct_households,renter_total,renter_by_age_group,Total renters | 65 to 74,National,proportion
2019-20,12.9,pct_households,renter_total,renter_by_age_group,Total renters | 75 and over,National,proportion
2019-20,31.4,pct_households,renter_total,renter_by_age_group,Total renters | all households,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 15 to 24,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 25 to 34,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 35 to 44,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 45 to 54,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 55 to 64,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 65 to 74,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | 75 and over,National,proportion
2019-20,100,pct_households,all,renter_by_age_group,Total | all households,National,proportion
2019-20,5.5,pct_households,all,family_type_by_age_group,Couple family with dependent children | 15 to 24,National,proportion
2019-20,30.6,pct_households,all,family_type_by_age_group,Couple family with dependent children | 25 to 34,National,proportion
2019-20,56.3,pct_households,all,family_type_by_age_group,Couple family with dependent children | 35 to 44,National,proportion
2019-20,43.9,pct_households,all,family_type_by_age_group,Couple family with dependent children | 45 to 54,National,proportion
2019-20,11.8,pct_households,all,family_type_by_age_group,Couple family with dependent children | 55 to 64,National,proportion
2019-20,1.7,pct_households,all,family_type_by_age_group,Couple family with dependent children | 65 to 74,National,proportion
2019-20,0.9,pct_households,all,family_type_by_age_group,Couple family with dependent children | 75 and over,National,proportion
2019-20,26.4,pct_households,all,family_type_by_age_group,Couple family with dependent children | all households,National,proportion
2019-20,7.7,pct_households,all,family_type_by_age_group,One parent family with dependent children | 15 to 24,National,proportion
