survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,1.6,cost_income_ratio,owner_outright,family_type,Couple family with dependent children,National,mean
2019-20,15.2,cost_income_ratio,owner_mortgage,family_type,Couple family with dependent children,National,mean
2019-20,13.1,cost_income_ratio,owner_total,family_type,Couple family with dependent children,National,mean
2019-20,16.6,cost_income_ratio,renter_social,family_type,Couple family with dependent children,National,mean
2019-20,18.5,cost_income_ratio,renter_private,family_type,Couple family with dependent children,National,mean
2019-20,17.4,cost_income_ratio,renter_total,family_type,Couple family with dependent children,National,mean
2019-20,13.8,cost_income_ratio,all,family_type,Couple family with dependent children,National,mean
2019-20,3.1,cost_income_ratio,owner_outright,family_type,One parent family with dependent children,National,mean
2019-20,17.6,cost_income_ratio,owner_mortgage,family_type,One parent family with dependent children,National,mean
2019-20,15.4,cost_income_ratio,owner_total,family_type,One parent family with dependent children,National,mean
2019-20,19.4,cost_income_ratio,renter_social,family_type,One parent family with dependent children,National,mean
2019-20,26.8,cost_income_ratio,renter_private,family_type,One parent family with dependent children,National,mean
2019-20,25.6,cost_income_ratio,renter_total,family_type,One parent family with dependent children,National,mean
2019-20,20.1,cost_income_ratio,all,family_type,One parent family with dependent children,National,mean
2019-20,3.3,cost_income_ratio,owner_outright,family_type,Couple only,National,mean
2019-20,15.4,cost_income_ratio,owner_mortgage,family_type,Couple only,National,mean
2019-20,9.9,cost_income_ratio,owner_total,family_type,Couple only,National,mean
2019-20,20.6,cost_income_ratio,renter_social,family_type,Couple only,National,mean
2019-20,17.5,cost_income_ratio,renter_private,family_type,Couple only,National,mean
2019-20,17.6,cost_income_ratio,renter_total,family_type,Couple only,National,mean
2019-20,11.7,cost_income_ratio,all,family_type,Couple only,National,mean
2019-20,2.3,cost_income_ratio,owner_outright,family_type,Other one family households,National,mean
2019-20,12.3,cost_income_ratio,owner_mortgage,family_type,Other one family households,National,mean
2019-20,8.2,cost_income_ratio,owner_total,family_type,Other one family households,National,mean
2019-20,18,cost_income_ratio,renter_social,family_type,Other one family households,National,mean
2019-20,18.3,cost_income_ratio,renter_private,family_type,Other one family households,National,mean
2019-20,18.2,cost_income_ratio,renter_total,family_type,Other one family households,National,mean
2019-20,10.2,cost_income_ratio,all,family_type,Other one family households,National,mean
2019-20,1.9,cost_income_ratio,owner_outright,family_type,Multiple family households,National,mean
2019-20,12.5,cost_income_ratio,owner_mortgage,family_type,Multiple family households,National,mean
2019-20,9.6,cost_income_ratio,owner_total,family_type,Multiple family households,National,mean
2019-20,0,cost_income_ratio,renter_social,family_type,Multiple family households,National,mean
2019-20,15.1,cost_income_ratio,renter_private,family_type,Multiple family households,National,mean
2019-20,15.2,cost_income_ratio,renter_total,family_type,Multiple family households,National,mean
2019-20,10.8,cost_income_ratio,all,family_type,Multiple family households,National,mean
2019-20,5.2,cost_income_ratio,owner_outright,family_type,Lone person households,National,mean
2019-20,24.4,cost_income_ratio,owner_mortgage,family_type,Lone person households,National,mean
2019-20,14.5,cost_income_ratio,owner_total,family_type,Lone person households,National,mean
2019-20,22.3,cost_income_ratio,renter_social,family_type,Lone person households,National,mean
2019-20,26.3,cost_income_ratio,renter_private,family_type,Lone person households,National,mean
2019-20,26,cost_income_ratio,renter_total,family_type,Lone person households,National,mean
2019-20,18.5,cost_income_ratio,all,family_type,Lone person households,National,mean
2019-20,4.1,cost_income_ratio,owner_outright,family_type,Group households,National,mean
2019-20,14.7,cost_income_ratio,owner_mortgage,family_type,Group households,National,mean
2019-20,11.6,cost_income_ratio,owner_total,family_type,Group households,National,mean
2019-20,17.6,cost_income_ratio,renter_social,family_type,Group households,National,mean
2019-20,21,cost_income_ratio,renter_private,family_type,Group households,National,mean
2019-20,20.9,cost_income_ratio,renter_total,family_type,Group households,National,mean
2019-20,18,cost_income_ratio,all,family_type,Group households,National,mean
2019-20,3,cost_income_ratio,owner_outright,family_type,Total,National,mean
2019-20,15.5,cost_income_ratio,owner_mortgage,family_type,Total,National,mean
2019-20,11.7,cost_income_ratio,owner_total,family_type,Total,National,mean
2019-20,19.5,cost_income_ratio,renter_social,family_type,Total,National,mean
2019-20,20.2,cost_income_ratio,renter_private,family_type,Total,National,mean
2019-20,19.9,cost_income_ratio,renter_total,family_type,Total,National,mean
2019-20,13.6,cost_income_ratio,all,family_type,Total,National,mean
2019-20,2.8,cost_income_ratio,owner_outright,age_group,15 to 24,National,mean
2019-20,22.5,cost_income_ratio,owner_mortgage,age_group,15 to 24,National,mean
2019-20,22,cost_income_ratio,owner_total,age_group,15 to 24,National,mean
2019-20,10.6,cost_income_ratio,renter_social,age_group,15 to 24,National,mean
2019-20,23.6,cost_income_ratio,renter_private,age_group,15 to 24,National,mean
2019-20,23.3,cost_income_ratio,renter_total,age_group,15 to 24,National,mean
2019-20,22.7,cost_income_ratio,all,age_group,15 to 24,National,mean
2019-20,2.4,cost_income_ratio,owner_outright,age_group,25 to 34,National,mean
2019-20,17.4,cost_income_ratio,owner_mortgage,age_group,25 to 34,National,mean
2019-20,16.6,cost_income_ratio,owner_total,age_group,25 to 34,National,mean
2019-20,17.3,cost_income_ratio,renter_social,age_group,25 to 34,National,mean
2019-20,18.8,cost_income_ratio,renter_private,age_group,25 to 34,National,mean
