survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,67,weekly_housing_cost,owner_outright,family_type,Couple family with dependent children,National,mean
2019-20,554,weekly_housing_cost,owner_mortgage,family_type,Couple family with dependent children,National,mean
2019-20,483,weekly_housing_cost,owner_total,family_type,Couple family with dependent children,National,mean
2019-20,233,weekly_housing_cost,renter_social,family_type,Couple family with dependent children,National,mean
2019-20,458,weekly_housing_cost,renter_private,family_type,Couple family with dependent children,National,mean
2019-20,441,weekly_housing_cost,renter_total,family_type,Couple family with dependent children,National,mean
2019-20,467,weekly_housing_cost,all,family_type,Couple family with dependent children,National,mean
2019-20,55,weekly_housing_cost,owner_outright,family_type,One parent family with dependent children,National,mean
2019-20,409,weekly_housing_cost,owner_mortgage,family_type,One parent family with dependent children,National,mean
2019-20,330,weekly_housing_cost,owner_total,family_type,One parent family with dependent children,National,mean
2019-20,189,weekly_housing_cost,renter_social,family_type,One parent family with dependent children,National,mean
2019-20,388,weekly_housing_cost,renter_private,family_type,One parent family with dependent children,National,mean
2019-20,356,weekly_housing_cost,renter_total,family_type,One parent family with dependent children,National,mean
2019-20,336,weekly_housing_cost,all,family_type,One parent family with dependent children,National,mean
2019-20,56,weekly_housing_cost,owner_outright,family_type,Couple only,National,mean
2019-20,471,weekly_housing_cost,owner_mortgage,family_type,Couple only,National,mean
2019-20,223,weekly_housing_cost,owner_total,family_type,Couple only,National,mean
2019-20,177,weekly_housing_cost,renter_social,family_type,Couple only,National,mean
2019-20,430,weekly_housing_cost,renter_private,family_type,Couple only,National,mean
2019-20,414,weekly_housing_cost,renter_total,family_type,Couple only,National,mean
2019-20,264,weekly_housing_cost,all,family_type,Couple only,National,mean
2019-20,59,weekly_housing_cost,owner_outright,family_type,Other one family households,National,mean
2019-20,436,weekly_housing_cost,owner_mortgage,family_type,Other one family households,National,mean
2019-20,250,weekly_housing_cost,owner_total,family_type,Other one family households,National,mean
2019-20,200,weekly_housing_cost,renter_social,family_type,Other one family households,National,mean
2019-20,446,weekly_housing_cost,renter_private,family_type,Other one family households,National,mean
2019-20,415,weekly_housing_cost,renter_total,family_type,Other one family households,National,mean
2019-20,291,weekly_housing_cost,all,family_type,Other one family households,National,mean
2019-20,60,weekly_housing_cost,owner_outright,family_type,Multiple family households,National,mean
2019-20,498,weekly_housing_cost,owner_mortgage,family_type,Multiple family households,National,mean
2019-20,364,weekly_housing_cost,owner_total,family_type,Multiple family households,National,mean
2019-20,0,weekly_housing_cost,renter_social,family_type,Multiple family households,National,mean
2019-20,436,weekly_housing_cost,renter_private,family_type,Multiple family households,National,mean
2019-20,439,weekly_housing_cost,renter_total,family_type,Multiple family households,National,mean
2019-20,385,weekly_housing_cost,all,family_type,Multiple family households,National,mean
2019-20,45,weekly_housing_cost,owner_outright,family_type,Lone person households,National,mean
2019-20,405,weekly_housing_cost,owner_mortgage,family_type,Lone person households,National,mean
2019-20,164,weekly_housing_cost,owner_total,family_type,Lone person households,National,mean
2019-20,113,weekly_housing_cost,renter_social,family_type,Lone person households,National,mean
2019-20,337,weekly_housing_cost,renter_private,family_type,Lone person households,National,mean
2019-20,284,weekly_housing_cost,renter_total,family_type,Lone person households,National,mean
2019-20,206,weekly_housing_cost,all,family_type,Lone person households,National,mean
2019-20,65,weekly_housing_cost,owner_outright,family_type,Group households,National,mean
2019-20,423,weekly_housing_cost,owner_mortgage,family_type,Group households,National,mean
2019-20,276,weekly_housing_cost,owner_total,family_type,Group households,National,mean
2019-20,203,weekly_housing_cost,renter_social,family_type,Group households,National,mean
2019-20,498,weekly_housing_cost,renter_private,family_type,Group households,National,mean
2019-20,485,weekly_housing_cost,renter_total,family_type,Group households,National,mean
2019-20,422,weekly_housing_cost,all,family_type,Group households,National,mean
2019-20,54,weekly_housing_cost,owner_outright,family_type,Total,National,mean
2019-20,493,weekly_housing_cost,owner_mortgage,family_type,Total,National,mean
2019-20,297,weekly_housing_cost,owner_total,family_type,Total,National,mean
2019-20,150,weekly_housing_cost,renter_social,family_type,Total,National,mean
2019-20,415,weekly_housing_cost,renter_private,family_type,Total,National,mean
2019-20,379,weekly_housing_cost,renter_total,family_type,Total,National,mean
2019-20,317,weekly_housing_cost,all,family_type,Total,National,mean
2019-20,20,weekly_housing_cost,owner_outright,age_group,15 to 24,National,mean
2019-20,484,weekly_housing_cost,owner_mortgage,age_group,15 to 24,National,mean
2019-20,431,weekly_housing_cost,owner_total,age_group,15 to 24,National,mean
2019-20,234,weekly_housing_cost,renter_social,age_group,15 to 24,National,mean
2019-20,404,weekly_housing_cost,renter_private,age_group,15 to 24,National,mean
2019-20,397,weekly_housing_cost,renter_total,age_group,15 to 24,National,mean
2019-20,386,weekly_housing_cost,all,age_group,15 to 24,National,mean
2019-20,54,weekly_housing_cost,owner_outright,age_group,25 to 34,National,mean
2019-20,510,weekly_housing_cost,owner_mortgage,age_group,25 to 34,National,mean
2019-20,477,weekly_housing_cost,owner_total,age_group,25 to 34,National,mean
2019-20,158,weekly_housing_cost,renter_social,age_group,25 to 34,National,mean
2019-20,418,weekly_housing_cost,renter_private,age_group,25 to 34,National,mean
2019-20,404,weekly_housing_cost,renter_total,age_group,25 to 34,National,mean
2019-20,423,weekly_housing_cost,all,age_group,25 to 34,National,mean
