source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_or_less,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_to_30,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_30_to_50,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0.4,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_50,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_total,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_over_30,owner_outright,owner,Owner without a mortgage,National,all_households,moe_95,0.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,households_000,owner_outright,owner,Owner without a mortgage,National,all_households,rse_pct,1.4,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_or_less,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,1.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_25_to_30,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
5. Housing costs as a proportion of income ranges.xlsx,Table 5.1,2019-20,pct_30_to_50,owner_mortgage,owner,Owner with a mortgage,National,all_households,moe_95,1.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
