survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,42,median_weekly_cost,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,5.5,median_cost_income_ratio,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,98.2,pct_25_or_less,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,0.5,pct_25_to_30,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,2.2,pct_30_to_50,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,0,pct_over_50,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,100,pct_total,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,2.2,pct_over_30,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,479.5,households_000,owner_outright,lower_income_state,Owner without a mortgage,New South Wales,lower_income
2019-20,375,median_weekly_cost,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,26.7,median_cost_income_ratio,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,48.2,pct_25_or_less,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,10.7,pct_25_to_30,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,21.1,pct_30_to_50,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,18.8,pct_over_50,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,100,pct_total,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,39.9,pct_over_30,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,234.6,households_000,owner_mortgage,lower_income_state,Owner with a mortgage,New South Wales,lower_income
2019-20,54,median_weekly_cost,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,7.1,median_cost_income_ratio,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,82.4,pct_25_or_less,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,3.6,pct_25_to_30,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,8.1,pct_30_to_50,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,6.2,pct_over_50,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,100,pct_total,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,14.6,pct_over_30,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,712,households_000,owner_total,lower_income_state,Total owners,New South Wales,lower_income
2019-20,120,median_weekly_cost,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,23.6,median_cost_income_ratio,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,70,pct_25_or_less,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,28.5,pct_25_to_30,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,5.9,pct_30_to_50,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,0,pct_over_50,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,100,pct_total,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,5.9,pct_over_30,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,72.7,households_000,renter_social,lower_income_state,State or territory housing authority,New South Wales,lower_income
2019-20,389,median_weekly_cost,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,34.8,median_cost_income_ratio,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,20.4,pct_25_or_less,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,16.9,pct_25_to_30,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,43.2,pct_30_to_50,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,20.3,pct_over_50,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,100,pct_total,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,64.5,pct_over_30,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,294.5,households_000,renter_private,lower_income_state,Private landlord,New South Wales,lower_income
2019-20,320,median_weekly_cost,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,30.8,median_cost_income_ratio,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,31.3,pct_25_or_less,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,17.8,pct_25_to_30,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,35.2,pct_30_to_50,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,15.6,pct_over_50,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,100,pct_total,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,50.5,pct_over_30,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,415.2,households_000,renter_total,lower_income_state,Total renters,New South Wales,lower_income
2019-20,108,median_weekly_cost,all,lower_income_state,Total,New South Wales,lower_income
2019-20,15.7,median_cost_income_ratio,all,lower_income_state,Total,New South Wales,lower_income
2019-20,64.3,pct_25_or_less,all,lower_income_state,Total,New South Wales,lower_income
2019-20,8.6,pct_25_to_30,all,lower_income_state,Total,New South Wales,lower_income
2019-20,17,pct_30_to_50,all,lower_income_state,Total,New South Wales,lower_income
2019-20,9.5,pct_over_50,all,lower_income_state,Total,New South Wales,lower_income
2019-20,100,pct_total,all,lower_income_state,Total,New South Wales,lower_income
2019-20,26.9,pct_over_30,all,lower_income_state,Total,New South Wales,lower_income
2019-20,1163.5,households_000,all,lower_income_state,Total,New South Wales,lower_income
2019-20,47,median_weekly_cost,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,5.9,median_cost_income_ratio,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,99.4,pct_25_or_less,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,0.6,pct_25_to_30,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,0,pct_30_to_50,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,0,pct_over_50,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,100,pct_total,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,0,pct_over_30,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,411.1,households_000,owner_outright,lower_income_state,Owner without a mortgage,Victoria,lower_income
2019-20,341,median_weekly_cost,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,24.3,median_cost_income_ratio,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,51.2,pct_25_or_less,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,10.8,pct_25_to_30,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,20.4,pct_30_to_50,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,16.4,pct_over_50,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,100,pct_total,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,36,pct_over_30,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,239.3,households_000,owner_mortgage,lower_income_state,Owner with a mortgage,Victoria,lower_income
2019-20,58,median_weekly_cost,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,8.2,median_cost_income_ratio,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,81.3,pct_25_or_less,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,4.6,pct_25_to_30,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,7.8,pct_30_to_50,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,6.1,pct_over_50,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,100,pct_total,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,13.3,pct_over_30,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,650.1,households_000,owner_total,lower_income_state,Total owners,Victoria,lower_income
2019-20,120,median_weekly_cost,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,23,median_cost_income_ratio,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,88,pct_25_or_less,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,13.3,pct_25_to_30,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,0,pct_30_to_50,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,0,pct_over_50,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,100,pct_total,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,0,pct_over_30,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,45.3,households_000,renter_social,lower_income_state,State or territory housing authority,Victoria,lower_income
2019-20,349,median_weekly_cost,renter_private,lower_income_state,Private landlord,Victoria,lower_income
2019-20,32.5,median_cost_income_ratio,renter_private,lower_income_state,Private landlord,Victoria,lower_income
2019-20,24.8,pct_25_or_less,renter_private,lower_income_state,Private landlord,Victoria,lower_income
2019-20,17.9,pct_25_to_30,renter_private,lower_income_state,Private landlord,Victoria,lower_income
2019-20,37.6,pct_30_to_50,renter_private,lower_income_state,Private landlord,Victoria,lower_income
2019-20,21.2,pct_over_50,renter_private,lower_income_state,Private landlord,Victoria,lower_income
