survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2007-08,44.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2007-08,41.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2007-08,32.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2007-08,25.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2007-08,33.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2007-08,22.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2007-08,49.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2007-08,39.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2007-08,38.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2009-10,52.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2009-10,49.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2009-10,47.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2009-10,32.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2009-10,41.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2009-10,34.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2009-10,40,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2009-10,38.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2009-10,47,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2011-12,44.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2011-12,52,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2011-12,47.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2011-12,34.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2011-12,40.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2011-12,40.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2011-12,31.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2011-12,30.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2011-12,44.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2013-14,59.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2013-14,47.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2013-14,49.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2013-14,34.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2013-14,50.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2013-14,38.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2013-14,43.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2013-14,36.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2013-14,49.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2015-16,57.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2015-16,53.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2015-16,35.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2015-16,40.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2015-16,50.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2015-16,26.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2015-16,31.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2015-16,35.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2015-16,48.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2017-18,57.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2017-18,45.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2017-18,39.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2017-18,38,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2017-18,49.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2017-18,24.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2017-18,42.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2017-18,42.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2017-18,47.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2019-20,53.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NSW,nhha
2019-20,48.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Vic.,nhha
2019-20,45.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Qld,nhha
2019-20,34.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,SA,nhha
2019-20,36.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,WA,nhha
2019-20,46.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Tas.,nhha
2019-20,42.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,NT,nhha
2019-20,27.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,ACT,nhha
2019-20,45.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Greater capital city area,Aust.,nhha
2007-08,35.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2007-08,17,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2007-08,37.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2007-08,12.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2007-08,14.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2007-08,13,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2007-08,5.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2007-08,29.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2009-10,38.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2009-10,21.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2009-10,38.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2009-10,14.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2009-10,26.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2009-10,19.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2009-10,9.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2009-10,32.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2011-12,32.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2011-12,23.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2011-12,41.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2011-12,19.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2011-12,31.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2011-12,22.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2011-12,17.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2011-12,32,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2013-14,34,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2013-14,25.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2013-14,44.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2013-14,22.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2013-14,29.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2013-14,22.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2013-14,36.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2013-14,34.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2015-16,42,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2015-16,29.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2015-16,36.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2015-16,22.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2015-16,37.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2015-16,22.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2015-16,30.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2015-16,36.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2017-18,37.3,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2017-18,32.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2017-18,41.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2017-18,20.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2017-18,36.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2017-18,22.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2017-18,16.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2017-18,35.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2019-20,35.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NSW,nhha
2019-20,31.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Vic.,nhha
2019-20,45,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Qld,nhha
2019-20,16.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,SA,nhha
2019-20,26.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,WA,nhha
2019-20,24.6,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Tas.,nhha
2019-20,20.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,NT,nhha
2019-20,36,pct_rental_stress_over_30,renter_lower_income,nhha_location,Rest of state,Aust.,nhha
2007-08,40.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NSW,nhha
2007-08,34.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Vic.,nhha
2007-08,35.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Qld,nhha
2007-08,22.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,SA,nhha
2007-08,30.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,WA,nhha
2007-08,16.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Tas.,nhha
2007-08,36.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NT,nhha
2007-08,39.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,ACT,nhha
2007-08,35,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Aust.,nhha
2009-10,46.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NSW,nhha
2009-10,39.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Vic.,nhha
2009-10,42.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Qld,nhha
2009-10,27.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,SA,nhha
2009-10,37.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,WA,nhha
2009-10,26.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Tas.,nhha
2009-10,37.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NT,nhha
2009-10,38.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,ACT,nhha
2009-10,40.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Aust.,nhha
2011-12,39.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NSW,nhha
2011-12,41.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Vic.,nhha
2011-12,43.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Qld,nhha
2011-12,30.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,SA,nhha
2011-12,38.1,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,WA,nhha
2011-12,30.4,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Tas.,nhha
2011-12,30,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NT,nhha
2011-12,30.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,ACT,nhha
2011-12,39.7,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Aust.,nhha
2013-14,48.2,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,NSW,nhha
2013-14,40,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Vic.,nhha
2013-14,46.9,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Qld,nhha
2013-14,31.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,SA,nhha
2013-14,45.5,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,WA,nhha
2013-14,28.8,pct_rental_stress_over_30,renter_lower_income,nhha_location,Total,Tas.,nhha
