survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,2.9,Owner without a mortgage,owner_mortgage,buyer_first_home_new,Owner without a mortgage,National,proportion
2019-20,8.7,Owner without a mortgage,owner_mortgage,buyer_first_home_established,Owner without a mortgage,National,proportion
2019-20,8.6,Owner without a mortgage,owner_mortgage,buyer_first_home_total,Owner without a mortgage,National,proportion
2019-20,30,Owner without a mortgage,owner_mortgage,buyer_changeover_new,Owner without a mortgage,National,proportion
2019-20,35.2,Owner without a mortgage,owner_mortgage,buyer_changeover_established,Owner without a mortgage,National,proportion
2019-20,35,Owner without a mortgage,owner_mortgage,buyer_changeover_total,Owner without a mortgage,National,proportion
2019-20,21.2,Owner without a mortgage,owner_mortgage,buyer_all_recent_new,Owner without a mortgage,National,proportion
2019-20,25.4,Owner without a mortgage,owner_mortgage,buyer_all_recent_established,Owner without a mortgage,National,proportion
2019-20,24.7,Owner without a mortgage,owner_mortgage,buyer_all_recent_total,Owner without a mortgage,National,proportion
2019-20,97.8,Owner with a mortgage,owner_mortgage,buyer_first_home_new,Owner with a mortgage,National,proportion
2019-20,90.5,Owner with a mortgage,owner_mortgage,buyer_first_home_established,Owner with a mortgage,National,proportion
2019-20,92.1,Owner with a mortgage,owner_mortgage,buyer_first_home_total,Owner with a mortgage,National,proportion
2019-20,65.2,Owner with a mortgage,owner_mortgage,buyer_changeover_new,Owner with a mortgage,National,proportion
2019-20,65.2,Owner with a mortgage,owner_mortgage,buyer_changeover_established,Owner with a mortgage,National,proportion
2019-20,65,Owner with a mortgage,owner_mortgage,buyer_changeover_total,Owner with a mortgage,National,proportion
2019-20,79.8,Owner with a mortgage,owner_mortgage,buyer_all_recent_new,Owner with a mortgage,National,proportion
2019-20,74.7,Owner with a mortgage,owner_mortgage,buyer_all_recent_established,Owner with a mortgage,National,proportion
2019-20,75.2,Owner with a mortgage,owner_mortgage,buyer_all_recent_total,Owner with a mortgage,National,proportion
2019-20,100,Total,owner_mortgage,buyer_first_home_new,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_first_home_established,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_first_home_total,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_changeover_new,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_changeover_established,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_changeover_total,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_all_recent_new,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_all_recent_established,Total,National,proportion
2019-20,100,Total,owner_mortgage,buyer_all_recent_total,Total,National,proportion
2019-20,63.3,Couple family with dependent children,owner_mortgage,buyer_first_home_new,Couple family with dependent children,National,proportion
2019-20,37.7,Couple family with dependent children,owner_mortgage,buyer_first_home_established,Couple family with dependent children,National,proportion
2019-20,41.5,Couple family with dependent children,owner_mortgage,buyer_first_home_total,Couple family with dependent children,National,proportion
2019-20,49,Couple family with dependent children,owner_mortgage,buyer_changeover_new,Couple family with dependent children,National,proportion
2019-20,31.9,Couple family with dependent children,owner_mortgage,buyer_changeover_established,Couple family with dependent children,National,proportion
2019-20,34.1,Couple family with dependent children,owner_mortgage,buyer_changeover_total,Couple family with dependent children,National,proportion
2019-20,53.7,Couple family with dependent children,owner_mortgage,buyer_all_recent_new,Couple family with dependent children,National,proportion
2019-20,34,Couple family with dependent children,owner_mortgage,buyer_all_recent_established,Couple family with dependent children,National,proportion
2019-20,36.8,Couple family with dependent children,owner_mortgage,buyer_all_recent_total,Couple family with dependent children,National,proportion
2019-20,0,One parent family with dependent children,owner_mortgage,buyer_first_home_new,One parent family with dependent children,National,proportion
2019-20,3.9,One parent family with dependent children,owner_mortgage,buyer_first_home_established,One parent family with dependent children,National,proportion
2019-20,3.7,One parent family with dependent children,owner_mortgage,buyer_first_home_total,One parent family with dependent children,National,proportion
2019-20,3.8,One parent family with dependent children,owner_mortgage,buyer_changeover_new,One parent family with dependent children,National,proportion
2019-20,6.3,One parent family with dependent children,owner_mortgage,buyer_changeover_established,One parent family with dependent children,National,proportion
2019-20,6.2,One parent family with dependent children,owner_mortgage,buyer_changeover_total,One parent family with dependent children,National,proportion
2019-20,2.8,One parent family with dependent children,owner_mortgage,buyer_all_recent_new,One parent family with dependent children,National,proportion
2019-20,5.4,One parent family with dependent children,owner_mortgage,buyer_all_recent_established,One parent family with dependent children,National,proportion
2019-20,5,One parent family with dependent children,owner_mortgage,buyer_all_recent_total,One parent family with dependent children,National,proportion
2019-20,27.7,Couple only,owner_mortgage,buyer_first_home_new,Couple only,National,proportion
2019-20,28.7,Couple only,owner_mortgage,buyer_first_home_established,Couple only,National,proportion
2019-20,27.5,Couple only,owner_mortgage,buyer_first_home_total,Couple only,National,proportion
2019-20,24.7,Couple only,owner_mortgage,buyer_changeover_new,Couple only,National,proportion
2019-20,31.5,Couple only,owner_mortgage,buyer_changeover_established,Couple only,National,proportion
2019-20,31,Couple only,owner_mortgage,buyer_changeover_total,Couple only,National,proportion
2019-20,26.3,Couple only,owner_mortgage,buyer_all_recent_new,Couple only,National,proportion
2019-20,30.4,Couple only,owner_mortgage,buyer_all_recent_established,Couple only,National,proportion
2019-20,29.6,Couple only,owner_mortgage,buyer_all_recent_total,Couple only,National,proportion
2019-20,6.9,Other one family households,owner_mortgage,buyer_first_home_new,Other one family households,National,proportion
2019-20,4.5,Other one family households,owner_mortgage,buyer_first_home_established,Other one family households,National,proportion
2019-20,4.2,Other one family households,owner_mortgage,buyer_first_home_total,Other one family households,National,proportion
2019-20,9.3,Other one family households,owner_mortgage,buyer_changeover_new,Other one family households,National,proportion
2019-20,7,Other one family households,owner_mortgage,buyer_changeover_established,Other one family households,National,proportion
2019-20,7.4,Other one family households,owner_mortgage,buyer_changeover_total,Other one family households,National,proportion
2019-20,9,Other one family households,owner_mortgage,buyer_all_recent_new,Other one family households,National,proportion
2019-20,6.3,Other one family households,owner_mortgage,buyer_all_recent_established,Other one family households,National,proportion
2019-20,6.2,Other one family households,owner_mortgage,buyer_all_recent_total,Other one family households,National,proportion
2019-20,0,Multiple family households,owner_mortgage,buyer_first_home_new,Multiple family households,National,proportion
2019-20,0.8,Multiple family households,owner_mortgage,buyer_first_home_established,Multiple family households,National,proportion
2019-20,0.9,Multiple family households,owner_mortgage,buyer_first_home_total,Multiple family households,National,proportion
2019-20,0,Multiple family households,owner_mortgage,buyer_changeover_new,Multiple family households,National,proportion
2019-20,1,Multiple family households,owner_mortgage,buyer_changeover_established,Multiple family households,National,proportion
2019-20,0.9,Multiple family households,owner_mortgage,buyer_changeover_total,Multiple family households,National,proportion
2019-20,0,Multiple family households,owner_mortgage,buyer_all_recent_new,Multiple family households,National,proportion
2019-20,1.2,Multiple family households,owner_mortgage,buyer_all_recent_established,Multiple family households,National,proportion
2019-20,1.3,Multiple family households,owner_mortgage,buyer_all_recent_total,Multiple family households,National,proportion
2019-20,6.9,Lone person households,owner_mortgage,buyer_first_home_new,Lone person households,National,proportion
2019-20,21.7,Lone person households,owner_mortgage,buyer_first_home_established,Lone person households,National,proportion
2019-20,19.9,Lone person households,owner_mortgage,buyer_first_home_total,Lone person households,National,proportion
2019-20,7.2,Lone person households,owner_mortgage,buyer_changeover_new,Lone person households,National,proportion
2019-20,20.9,Lone person households,owner_mortgage,buyer_changeover_established,Lone person households,National,proportion
2019-20,19,Lone person households,owner_mortgage,buyer_changeover_total,Lone person households,National,proportion
2019-20,6.8,Lone person households,owner_mortgage,buyer_all_recent_new,Lone person households,National,proportion
2019-20,21.6,Lone person households,owner_mortgage,buyer_all_recent_established,Lone person households,National,proportion
2019-20,19.4,Lone person households,owner_mortgage,buyer_all_recent_total,Lone person households,National,proportion
2019-20,0,Group households,owner_mortgage,buyer_first_home_new,Group households,National,proportion
