survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
2019-20,96.7,pct_25_or_less,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,0.4,pct_25_to_30,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,0.8,pct_30_to_50,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,2,pct_over_50,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,100,pct_total,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,2.8,pct_over_30,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,2848.629,households_000,owner_outright,owner,Owner without a mortgage,National,all_households
2019-20,73.7,pct_25_or_less,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,8.8,pct_25_to_30,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,11.3,pct_30_to_50,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,6.1,pct_over_50,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,100,pct_total,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,17.4,pct_over_30,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,3554.0739,households_000,owner_mortgage,owner,Owner with a mortgage,National,all_households
2019-20,84,pct_25_or_less,owner_total,owner,Total owners,National,all_households
2019-20,5.1,pct_25_to_30,owner_total,owner,Total owners,National,all_households
2019-20,6.6,pct_30_to_50,owner_total,owner,Total owners,National,all_households
2019-20,4.3,pct_over_50,owner_total,owner,Total owners,National,all_households
2019-20,100,pct_total,owner_total,owner,Total owners,National,all_households
2019-20,10.9,pct_over_30,owner_total,owner,Total owners,National,all_households
2019-20,6401.472400000001,households_000,owner_total,owner,Total owners,National,all_households
2019-20,78.4,pct_25_or_less,renter_social,renter,State or territory housing authority,National,all_households
2019-20,17.2,pct_25_to_30,renter_social,renter,State or territory housing authority,National,all_households
2019-20,3.6,pct_30_to_50,renter_social,renter,State or territory housing authority,National,all_households
2019-20,0.8,pct_over_50,renter_social,renter,State or territory housing authority,National,all_households
2019-20,100,pct_total,renter_social,renter,State or territory housing authority,National,all_households
2019-20,4.3,pct_over_30,renter_social,renter,State or territory housing authority,National,all_households
2019-20,276.813,households_000,renter_social,renter,State or territory housing authority,National,all_households
2019-20,57.7,pct_25_or_less,renter_private,renter,Private landlord,National,all_households
2019-20,11.8,pct_25_to_30,renter_private,renter,Private landlord,National,all_households
2019-20,20.7,pct_30_to_50,renter_private,renter,Private landlord,National,all_households
2019-20,10,pct_over_50,renter_private,renter,Private landlord,National,all_households
2019-20,100,pct_total,renter_private,renter,Private landlord,National,all_households
2019-20,30.5,pct_over_30,renter_private,renter,Private landlord,National,all_households
2019-20,2535.4993999999997,households_000,renter_private,renter,Private landlord,National,all_households
2019-20,59.5,pct_25_or_less,renter_total,renter,Total renters,National,all_households
2019-20,12.2,pct_25_to_30,renter_total,renter,Total renters,National,all_households
2019-20,19.2,pct_30_to_50,renter_total,renter,Total renters,National,all_households
2019-20,9.1,pct_over_50,renter_total,renter,Total renters,National,all_households
2019-20,100,pct_total,renter_total,renter,Total renters,National,all_households
2019-20,28.2,pct_over_30,renter_total,renter,Total renters,National,all_households
2019-20,3038.0173,households_000,renter_total,renter,Total renters,National,all_households
2019-20,76.6,pct_25_or_less,all,renter,Total,National,all_households
2019-20,7.2,pct_25_to_30,all,renter,Total,National,all_households
2019-20,10.5,pct_30_to_50,all,renter,Total,National,all_households
2019-20,5.7,pct_over_50,all,renter,Total,National,all_households
2019-20,100,pct_total,all,renter,Total,National,all_households
2019-20,16.2,pct_over_30,all,renter,Total,National,all_households
2019-20,9674.3515,households_000,all,renter,Total,National,all_households
2019-20,77.6,pct_25_or_less,all,family_type,Couple family with dependent children,National,all_households
2019-20,8.2,pct_25_to_30,all,family_type,Couple family with dependent children,National,all_households
2019-20,9.6,pct_30_to_50,all,family_type,Couple family with dependent children,National,all_households
2019-20,4.4,pct_over_50,all,family_type,Couple family with dependent children,National,all_households
2019-20,100,pct_total,all,family_type,Couple family with dependent children,National,all_households
2019-20,14.2,pct_over_30,all,family_type,Couple family with dependent children,National,all_households
2019-20,2568.5937000000004,households_000,all,family_type,Couple family with dependent children,National,all_households
2019-20,55.8,pct_25_or_less,all,family_type,One parent family with dependent children,National,all_households
2019-20,12.4,pct_25_to_30,all,family_type,One parent family with dependent children,National,all_households
2019-20,21.6,pct_30_to_50,all,family_type,One parent family with dependent children,National,all_households
2019-20,10,pct_over_50,all,family_type,One parent family with dependent children,National,all_households
2019-20,100,pct_total,all,family_type,One parent family with dependent children,National,all_households
2019-20,31.8,pct_over_30,all,family_type,One parent family with dependent children,National,all_households
2019-20,586.7022,households_000,all,family_type,One parent family with dependent children,National,all_households
2019-20,85.4,pct_25_or_less,all,family_type,Couple only,National,all_households
2019-20,4.5,pct_25_to_30,all,family_type,Couple only,National,all_households
2019-20,6.6,pct_30_to_50,all,family_type,Couple only,National,all_households
2019-20,3.7,pct_over_50,all,family_type,Couple only,National,all_households
2019-20,100,pct_total,all,family_type,Couple only,National,all_households
2019-20,10.1,pct_over_30,all,family_type,Couple only,National,all_households
2019-20,2544.0824,households_000,all,family_type,Couple only,National,all_households
2019-20,87,pct_25_or_less,all,family_type,Other one family households,National,all_households
2019-20,5.1,pct_25_to_30,all,family_type,Other one family households,National,all_households
2019-20,5.2,pct_30_to_50,all,family_type,Other one family households,National,all_households
2019-20,2.5,pct_over_50,all,family_type,Other one family households,National,all_households
2019-20,100,pct_total,all,family_type,Other one family households,National,all_households
2019-20,7.5,pct_over_30,all,family_type,Other one family households,National,all_households
2019-20,1043.7204,households_000,all,family_type,Other one family households,National,all_households
2019-20,89.3,pct_25_or_less,all,family_type,Multiple family households,National,all_households
2019-20,3.7,pct_25_to_30,all,family_type,Multiple family households,National,all_households
2019-20,4.2,pct_30_to_50,all,family_type,Multiple family households,National,all_households
2019-20,0,pct_over_50,all,family_type,Multiple family households,National,all_households
2019-20,100,pct_total,all,family_type,Multiple family households,National,all_households
2019-20,4.4,pct_over_30,all,family_type,Multiple family households,National,all_households
2019-20,228.3714,households_000,all,family_type,Multiple family households,National,all_households
2019-20,66.9,pct_25_or_less,all,family_type,Lone person households,National,all_households
2019-20,8.6,pct_25_to_30,all,family_type,Lone person households,National,all_households
2019-20,14.8,pct_30_to_50,all,family_type,Lone person households,National,all_households
2019-20,9.6,pct_over_50,all,family_type,Lone person households,National,all_households
2019-20,100,pct_total,all,family_type,Lone person households,National,all_households
2019-20,24.6,pct_over_30,all,family_type,Lone person households,National,all_households
2019-20,2424.9662999999996,households_000,all,family_type,Lone person households,National,all_households
2019-20,65.8,pct_25_or_less,all,family_type,Group households,National,all_households
2019-20,9.9,pct_25_to_30,all,family_type,Group households,National,all_households
2019-20,18.1,pct_30_to_50,all,family_type,Group households,National,all_households
2019-20,7.4,pct_over_50,all,family_type,Group households,National,all_households
2019-20,100,pct_total,all,family_type,Group households,National,all_households
2019-20,24.6,pct_over_30,all,family_type,Group households,National,all_households
2019-20,277.2264,households_000,all,family_type,Group households,National,all_households
2019-20,76.6,pct_25_or_less,all,family_type,Total,National,all_households
2019-20,7.2,pct_25_to_30,all,family_type,Total,National,all_households
2019-20,10.5,pct_30_to_50,all,family_type,Total,National,all_households
2019-20,5.7,pct_over_50,all,family_type,Total,National,all_households
2019-20,100,pct_total,all,family_type,Total,National,all_households
2019-20,16.2,pct_over_30,all,family_type,Total,National,all_households
2019-20,9674.3515,households_000,all,family_type,Total,National,all_households
2019-20,53.1,pct_25_or_less,all,age_group,15 to 24,National,all_households
2019-20,14.6,pct_25_to_30,all,age_group,15 to 24,National,all_households
2019-20,22.3,pct_30_to_50,all,age_group,15 to 24,National,all_households
2019-20,11.5,pct_over_50,all,age_group,15 to 24,National,all_households
2019-20,100,pct_total,all,age_group,15 to 24,National,all_households
2019-20,32.8,pct_over_30,all,age_group,15 to 24,National,all_households
2019-20,284.54659999999996,households_000,all,age_group,15 to 24,National,all_households
2019-20,70.4,pct_25_or_less,all,age_group,25 to 34,National,all_households
2019-20,10.7,pct_25_to_30,all,age_group,25 to 34,National,all_households
2019-20,12.4,pct_30_to_50,all,age_group,25 to 34,National,all_households
2019-20,6.6,pct_over_50,all,age_group,25 to 34,National,all_households
2019-20,100,pct_total,all,age_group,25 to 34,National,all_households
2019-20,19.3,pct_over_30,all,age_group,25 to 34,National,all_households
2019-20,1546.4922,households_000,all,age_group,25 to 34,National,all_households
2019-20,71,pct_25_or_less,all,age_group,35 to 44,National,all_households
2019-20,9.8,pct_25_to_30,all,age_group,35 to 44,National,all_households
2019-20,14.1,pct_30_to_50,all,age_group,35 to 44,National,all_households
2019-20,5.2,pct_over_50,all,age_group,35 to 44,National,all_households
2019-20,100,pct_total,all,age_group,35 to 44,National,all_households
2019-20,19.1,pct_over_30,all,age_group,35 to 44,National,all_households
2019-20,1845.3735,households_000,all,age_group,35 to 44,National,all_households
2019-20,74.5,pct_25_or_less,all,age_group,45 to 54,National,all_households
2019-20,7.9,pct_25_to_30,all,age_group,45 to 54,National,all_households
2019-20,11.3,pct_30_to_50,all,age_group,45 to 54,National,all_households
2019-20,6.2,pct_over_50,all,age_group,45 to 54,National,all_households
2019-20,100,pct_total,all,age_group,45 to 54,National,all_households
2019-20,17.7,pct_over_30,all,age_group,45 to 54,National,all_households
2019-20,1815.0687,households_000,all,age_group,45 to 54,National,all_households
2019-20,78.6,pct_25_or_less,all,age_group,55 to 64,National,all_households
2019-20,5.9,pct_25_to_30,all,age_group,55 to 64,National,all_households
2019-20,8.9,pct_30_to_50,all,age_group,55 to 64,National,all_households
2019-20,6.5,pct_over_50,all,age_group,55 to 64,National,all_households
2019-20,100,pct_total,all,age_group,55 to 64,National,all_households
2019-20,15.5,pct_over_30,all,age_group,55 to 64,National,all_households
2019-20,1708.371,households_000,all,age_group,55 to 64,National,all_households
2019-20,85.7,pct_25_or_less,all,age_group,65 to 74,National,all_households
2019-20,3.2,pct_25_to_30,all,age_group,65 to 74,National,all_households
2019-20,5.8,pct_30_to_50,all,age_group,65 to 74,National,all_households
2019-20,5.1,pct_over_50,all,age_group,65 to 74,National,all_households
2019-20,100,pct_total,all,age_group,65 to 74,National,all_households
2019-20,11.2,pct_over_30,all,age_group,65 to 74,National,all_households
2019-20,1397.3912,households_000,all,age_group,65 to 74,National,all_households
2019-20,89.9,pct_25_or_less,all,age_group,75 and over,National,all_households
2019-20,2.3,pct_25_to_30,all,age_group,75 and over,National,all_households
2019-20,5.4,pct_30_to_50,all,age_group,75 and over,National,all_households
2019-20,2.5,pct_over_50,all,age_group,75 and over,National,all_households
2019-20,100,pct_total,all,age_group,75 and over,National,all_households
2019-20,7.9,pct_over_30,all,age_group,75 and over,National,all_households
2019-20,1072.6748,households_000,all,age_group,75 and over,National,all_households
2019-20,76.6,pct_25_or_less,all,age_group,Total,National,all_households
2019-20,7.2,pct_25_to_30,all,age_group,Total,National,all_households
2019-20,10.5,pct_30_to_50,all,age_group,Total,National,all_households
2019-20,5.7,pct_over_50,all,age_group,Total,National,all_households
2019-20,100,pct_total,all,age_group,Total,National,all_households
2019-20,16.2,pct_over_30,all,age_group,Total,National,all_households
2019-20,9674.3515,households_000,all,age_group,Total,National,all_households
2019-20,87.4,pct_25_or_less,all,age_group,65 and over,National,all_households
2019-20,2.9,pct_25_to_30,all,age_group,65 and over,National,all_households
2019-20,5.5,pct_30_to_50,all,age_group,65 and over,National,all_households
2019-20,4,pct_over_50,all,age_group,65 and over,National,all_households
2019-20,100,pct_total,all,age_group,65 and over,National,all_households
2019-20,9.6,pct_over_30,all,age_group,65 and over,National,all_households
2019-20,2472.9599,households_000,all,age_group,65 and over,National,all_households
2019-20,80.7,pct_25_or_less,all,dwelling_structure,Separate house,National,all_households
2019-20,6.1,pct_25_to_30,all,dwelling_structure,Separate house,National,all_households
2019-20,8.3,pct_30_to_50,all,dwelling_structure,Separate house,National,all_households
2019-20,4.9,pct_over_50,all,dwelling_structure,Separate house,National,all_households
2019-20,100,pct_total,all,dwelling_structure,Separate house,National,all_households
2019-20,13.2,pct_over_30,all,dwelling_structure,Separate house,National,all_households
2019-20,6682.497,households_000,all,dwelling_structure,Separate house,National,all_households
2019-20,72.6,pct_25_or_less,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,7.7,pct_25_to_30,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,13.2,pct_30_to_50,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,6.6,pct_over_50,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,100,pct_total,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,19.6,pct_over_30,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,1346.076,households_000,all,dwelling_structure,"Semi-detached, row or terrace house, townhouse",National,all_households
2019-20,63.1,pct_25_or_less,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,11.4,pct_25_to_30,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,17,pct_30_to_50,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,8.5,pct_over_50,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,100,pct_total,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,25.6,pct_over_30,all,dwelling_structure,Flat or apartment,National,all_households
2019-20,1611.9171000000001,households_000,all,dwelling_structure,Flat or apartment,National,all_households
