survey_year,value,metric,tenure,breakdown_var,breakdown_val,geography,stat_type
1994-95,41,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
1995-96,36,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
1996-97,36,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
1997-98,36,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
1999-00,36,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2000-01,36,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2002-03,37,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2003-04,37,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2005-06,40,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2007-08,42,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2009-10,43,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2011-12,46,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2013-14,52,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2015-16,55,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2017-18,54,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
2019-20,54,mean_weekly_cost_real,owner_outright,tenure,Owner without a mortgage,National,mean
1994-95,351,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
1995-96,356,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
1996-97,359,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
1997-98,356,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
1999-00,351,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2000-01,346,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2002-03,365,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2003-04,415,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2005-06,463,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2007-08,494,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2009-10,498,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2011-12,500,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2013-14,499,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2015-16,483,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2017-18,498,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
2019-20,493,mean_weekly_cost_real,owner_mortgage,tenure,Owner with a mortgage,National,mean
1994-95,113,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
1995-96,108,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
1996-97,113,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
1997-98,107,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
1999-00,118,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2000-01,115,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2002-03,120,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2003-04,123,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2005-06,139,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2007-08,135,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2009-10,146,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2011-12,158,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2013-14,163,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2015-16,178,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2017-18,163,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
2019-20,150,mean_weekly_cost_real,renter_social,tenure,State or territory housing authority,National,mean
1994-95,256,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
1995-96,260,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
1996-97,265,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
1997-98,272,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
1999-00,277,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2000-01,272,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2002-03,281,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2003-04,289,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2005-06,307,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2007-08,344,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2009-10,373,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2011-12,402,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2013-14,414,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2015-16,407,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2017-18,411,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
2019-20,415,mean_weekly_cost_real,renter_private,tenure,Private landlord,National,mean
1994-95,218,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
1995-96,218,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
1996-97,226,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
1997-98,230,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
1999-00,237,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2000-01,236,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2002-03,246,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2003-04,254,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2005-06,274,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2007-08,305,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2009-10,335,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2011-12,361,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2013-14,375,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2015-16,374,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2017-18,377,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
2019-20,379,mean_weekly_cost_real,renter_total,tenure,Total renters,National,mean
1994-95,177,mean_weekly_cost_real,all,tenure,Total,National,mean
1995-96,174,mean_weekly_cost_real,all,tenure,Total,National,mean
1996-97,180,mean_weekly_cost_real,all,tenure,Total,National,mean
1997-98,187,mean_weekly_cost_real,all,tenure,Total,National,mean
1999-00,191,mean_weekly_cost_real,all,tenure,Total,National,mean
2000-01,190,mean_weekly_cost_real,all,tenure,Total,National,mean
2002-03,203,mean_weekly_cost_real,all,tenure,Total,National,mean
2003-04,229,mean_weekly_cost_real,all,tenure,Total,National,mean
2005-06,254,mean_weekly_cost_real,all,tenure,Total,National,mean
2007-08,279,mean_weekly_cost_real,all,tenure,Total,National,mean
2009-10,291,mean_weekly_cost_real,all,tenure,Total,National,mean
2011-12,307,mean_weekly_cost_real,all,tenure,Total,National,mean
2013-14,312,mean_weekly_cost_real,all,tenure,Total,National,mean
2015-16,310,mean_weekly_cost_real,all,tenure,Total,National,mean
2017-18,320,mean_weekly_cost_real,all,tenure,Total,National,mean
2019-20,317,mean_weekly_cost_real,all,tenure,Total,National,mean
